dataset,method,variant,dimension,n,gap_leak_fraction_mean,gap_leak_fraction_sem,epi_gap_ratio_mean,epi_gap_ratio_sem,mean_std_epi_gap_in_mean,mean_std_epi_gap_in_sem,mean_std_epi_gap_out_mean,mean_std_epi_gap_out_sem,rmse_gap_in_mean,rmse_gap_in_sem,rmse_gap_out_mean,rmse_gap_out_sem,ll_gap_in_mean,ll_gap_in_sem,ll_gap_out_mean,ll_gap_out_sem,picp95_gap_in_mean,picp95_gap_in_sem,picp95_gap_out_mean,picp95_gap_out_sem,feature_n_distinct,n_train_full,n_removed
energy,ensemble,control,4,5,1.0,0.0,0.9357212085512341,0.01374614622465748,0.2220412394313282,0.012910196637385333,0.2369251402677,0.011663546901129177,0.4469846271125525,0.023177858569292043,0.5169539836316704,0.051732433172797194,-0.6217336237915696,0.054508698925583965,-0.7502605191995496,0.09127367161894778,0.9535531837255975,0.009301437534253228,0.9376227698626621,0.0159967902424185,2,691,varies
energy,ensemble,control,5,5,0.24847589063851167,0.0030843516391765055,0.8895355448836941,0.025263785862756842,0.21410521734703708,0.010374307859151334,0.24140044229979107,0.01329324812975483,0.44211837129732406,0.02136152488684736,0.5196785832057793,0.04537509063297954,-0.6176724227038835,0.052115517865337524,-0.7476999277409021,0.07922036436615702,0.9549770114942528,0.01404647082300684,0.9358017880592004,0.017854524641514182,4,691,varies
energy,ensemble,control,6,5,0.43368142180873726,0.002289602734819664,0.9093986660078078,0.03907976464033316,0.21782988183992064,0.01561535180448253,0.23892048187642895,0.011187073131147163,0.47446256679365656,0.02999299369310501,0.5047734174886946,0.04266954496950662,-0.6703498301148216,0.07041002287922546,-0.7228755230202026,0.0783352030864933,0.9594658385093169,0.018737469997688525,0.9353274487728269,0.016187900636175034,4,691,varies
energy,ensemble,control,7,5,0.3417257718817179,0.0026920748843153094,0.8964865238813513,0.020851055311543885,0.21511228762718435,0.011144665895371888,0.2402880957052611,0.012752853548405087,0.4618340226257455,0.04107106516540209,0.5083657351799877,0.053286718374451016,-0.6504105845314636,0.0893314884733694,-0.739278323828284,0.10422520399634856,0.94988344988345,0.03063073655918358,0.9378822577982241,0.024269000105330816,6,691,varies
energy,ensemble,gap,0,20,0.0,0.0,11.179799967092446,0.5830405481206977,2.2233145202412943,0.098621684886433,0.20117455487825864,0.004464353013989323,16.24452917730985,0.27170483792887395,0.3408353487864337,0.013306513658335484,-48.92894343877295,5.037467357880882,-0.3722082316389071,0.03548456563558713,0.00217391304347826,0.00217391304347826,0.9722082131720489,0.00554318853085903,12,691,varies
energy,ensemble,gap,1,20,0.0,0.0,11.179799967092446,0.5830405481206977,2.2233145202412943,0.098621684886433,0.20117455487825864,0.004464353013989323,16.24452917730985,0.27170483792887395,0.3408353487864337,0.013306513658335484,-48.92894343877295,5.037467357880882,-0.3722082316389071,0.03548456563558713,0.00217391304347826,0.00217391304347826,0.9722082131720489,0.00554318853085903,12,691,varies
energy,ensemble,gap,2,20,0.2504690265667931,0.0011220328146099735,2.5727342597307734,0.11700854124824248,0.5211446910341235,0.024725364025189173,0.2033269563902386,0.004322156776106544,4.604748946143089,0.13313258934628863,0.48184297215862487,0.02244634488995714,-23.4005235909064,1.7692549693669593,-0.7091072268896832,0.056362271311725685,0.36635370525943384,0.02957975244092816,0.9394496798950461,0.008273773223110743,7,691,varies
energy,ensemble,gap,3,20,0.6270189023635011,0.0012869442322245407,1.0544207949823692,0.017893988827161242,0.23535626828133535,0.00650487911162071,0.22354302448479685,0.005564217835708867,0.575510521058966,0.0218887451211433,0.5013579465482347,0.018766811860496464,-0.9013775806904831,0.05053126613161692,-0.7649536731770554,0.048601751990022944,0.8846119378705586,0.014766831571320835,0.936462811995181,0.009327109111572082,4,691,varies
energy,ensemble,gap,4,20,1.0,0.0,0.9683726814222113,0.018826997250569653,0.2344441842293819,0.005460462105971838,0.24301086920150702,0.006072964022140094,0.43388168986134196,0.01661565516492191,0.509066706846897,0.01915617885494954,-0.5955560178342945,0.032364706690016405,-0.7526907100956381,0.04647537065290267,0.9588046115388679,0.008535141291397135,0.9391000686768551,0.007548391951707997,2,691,varies
energy,ensemble,gap,5,20,0.24959056677869254,0.0013250570565973853,0.9738246992890721,0.020350300278918047,0.22571582301450283,0.0073621834950336204,0.23277489567592538,0.007420823697834549,0.4879315215363088,0.022371255156353007,0.5420233713368644,0.016992523251995566,-0.7259107972489456,0.05549053780149961,-0.8229497079314994,0.037649572060106065,0.9210006869602292,0.014275107683504441,0.9271510661929548,0.006296323953612494,4,691,varies
