experiment_id,dataset,hessian_structure,prior_precision_mode,seed,status,failure,prior_precision,n_parameters,mpiw95,mpiw95_in_range,mpiw95_extrapolation,picp95_in_range,picp95_extrapolation,rmse_in_range,ll_in_range,mean_std_epi_in_range,mean_std_epi_extrapolation,epi_extrap_ratio,timestamp,git_commit
e6c,sin_gap,kron,fixed,0,ok,,,152,0.6050681463043001,0.44577762623372885,0.8440039264101568,0.95,0.8875,0.10927320327488661,0.7916663254799372,0.04709426761871363,0.18230948380124168,3.8711608231656247,2026-08-31T19:41:50.276932+00:00,1806733
e6c,sin_gap,kron,fixed,1,ok,,,152,0.6256045038050077,0.4396618238234891,0.9045185237772853,0.9583333333333334,0.95,0.10296775477281135,0.8307064755323249,0.04626526021470813,0.20056391631835047,4.335086745164127,2026-08-31T19:41:50.939407+00:00,1806733
e6c,sin_gap,kron,fixed,2,ok,,,152,0.6640606091333202,0.5095616178969014,0.8958090959879482,0.98,0.9375,0.10724837268882843,0.7707251072967,0.0488104184795925,0.1852977537571217,3.796274638263841,2026-08-31T19:41:50.569114+00:00,1806733
e6c,sin_gap,kron,marglik,0,ok,,,152,0.6690729316682565,0.45669003304827677,0.987647279598226,0.9533333333333334,0.9225,0.10927320327488661,0.7858941360391252,0.05111696222855889,0.2225641762960786,4.3540180517951965,2026-08-31T19:41:50.702183+00:00,1806733
e6c,sin_gap,kron,marglik,1,ok,,,152,0.6882075499058987,0.4485049121761941,1.0477615065004557,0.9616666666666667,0.9575,0.10296775477281135,0.8232338401806579,0.04958819236271574,0.24011462130571096,4.842173305075903,2026-08-31T19:41:50.899723+00:00,1806733
e6c,sin_gap,kron,marglik,2,ok,,,152,0.7248830378387074,0.5190467028381158,1.033637540339595,0.98,0.9675,0.10724837268882843,0.7621286210869876,0.05266618137666089,0.2246718610014657,4.265960719548758,2026-08-31T19:41:51.341167+00:00,1806733
e6c,sin_gap,kron,unregularised,0,ok,,,152,2.757608566463663,0.6027148971807257,5.989949070388068,0.9616666666666667,0.995,0.10927320327488661,0.6833618851551188,0.09676339904666977,1.5182456756669631,15.690288793334979,2026-08-31T19:41:59.309124+00:00,1806733
e6c,sin_gap,kron,unregularised,1,ok,,,152,3.287451233306156,0.6034822624579308,7.313404689578494,0.9683333333333334,1.0,0.10296775477281135,0.6938401924437161,0.09772565077693834,1.85670545516358,18.99916184136307,2026-08-31T19:41:59.570950+00:00,1806733
e6c,sin_gap,kron,unregularised,2,ok,,,152,2.98541038353995,0.6828450225632043,6.439258425005068,0.9833333333333333,1.0,0.10724837268882843,0.6279003564251849,0.10566475857431323,1.6299515650303755,15.42568768454662,2026-08-31T19:41:59.701586+00:00,1806733
e6c,sin_gap,diag,fixed,0,ok,,,152,0.48863263055111705,0.4891599380857906,0.4878416692491067,0.975,0.7275,0.10927320327488661,0.7773476856549442,0.07573298496391033,0.0750121641614944,0.9904820759044499,2026-08-31T19:41:59.772275+00:00,1806733
e6c,sin_gap,diag,fixed,1,ok,,,152,0.4862487069161623,0.48277335719834885,0.4914617314928823,0.9766666666666667,0.6875,0.10296775477281135,0.8260427059394732,0.07444873003151435,0.07793607432530314,1.0468422267554138,2026-08-31T19:41:59.819067+00:00,1806733
e6c,sin_gap,diag,fixed,2,ok,,,152,0.578779873067794,0.5740614351066765,0.5858575300094704,0.9933333333333333,0.6875,0.10724837268882843,0.7333641840638679,0.08763284430285016,0.09248192915362669,1.0553341032047137,2026-08-31T19:42:00.346705+00:00,1806733
e6c,sin_gap,diag,marglik,0,ok,,,152,0.4878210314311792,0.4882918776330187,0.48711476212841975,0.9733333333333334,0.725,0.10927320327488661,0.7777280250591567,0.07536495066336844,0.07469811051261006,0.991151853150718,2026-08-31T19:42:08.465405+00:00,1806733
e6c,sin_gap,diag,marglik,1,ok,,,152,0.48420495038421574,0.48121812290328025,0.488685191605619,0.9766666666666667,0.6875,0.10296775477281135,0.8269823657304193,0.07378110947873552,0.07678237338075972,1.0406779448456138,2026-08-31T19:42:08.492850+00:00,1806733
e6c,sin_gap,diag,marglik,2,ok,,,152,0.5769045232630455,0.5723270644959303,0.5837707114137185,0.9933333333333333,0.6775,0.10724837268882843,0.7347503450681675,0.08688973227317402,0.09162297974746082,1.0544741864252254,2026-08-31T19:42:08.627882+00:00,1806733
e6c,sin_gap,diag,unregularised,0,ok,,,152,0.4911452478289269,0.4916225762398483,0.4904292552125449,0.975,0.7375,0.10927320327488661,0.7761107972800528,0.07676543816422726,0.07610314510357885,0.9913725098626867,2026-08-31T19:42:08.520594+00:00,1806733
e6c,sin_gap,diag,unregularised,1,ok,,,152,0.4904720369053401,0.48619498705933384,0.49688761167434947,0.9766666666666667,0.6875,0.10296775477281135,0.8239586259326038,0.07588029898345137,0.0801109564060656,1.0557543588954081,2026-08-31T19:42:08.598713+00:00,1806733
e6c,sin_gap,diag,unregularised,2,ok,,,152,0.5809638874924987,0.5761943504867592,0.5881181930011085,0.995,0.6875,0.10724837268882843,0.7316521903598892,0.08854142958603546,0.09341174625190998,1.055006076687999,2026-08-31T19:42:09.513214+00:00,1806733
