dataset,dropout_p,split_index,epochs,rmse,ll,picp95,mpiw95,mean_var_aleatoric,mean_var_epistemic,timestamp,git_commit
yacht,0.1,14,2000,1.9689923340714304,-2.3701752810856114,0.967741935483871,14.046108259861207,8.07524951950185,4.89683937007794,2026-08-28T23:50:12.407206+00:00,1806733
yacht,0.1,15,2000,1.433375882990595,-2.3122463131720017,1.0,14.101013836179707,7.642848584955915,5.461612267133944,2026-08-28T23:50:13.922828+00:00,1806733
yacht,0.1,16,2000,1.6348189955457573,-2.353671089605652,0.967741935483871,14.398288126208778,8.140419209060973,5.479496766836879,2026-08-28T23:50:22.821566+00:00,1806733
yacht,0.1,17,2000,1.6758456991281678,-2.35480506048684,0.967741935483871,14.23840162371626,7.6466406701771525,5.64197249414813,2026-08-28T23:50:24.467452+00:00,1806733
yacht,0.1,18,2000,1.7052270720929126,-2.3368679735370916,0.967741935483871,14.016912290625653,7.75189150769414,5.22648651027482,2026-08-28T23:50:33.589011+00:00,1806733
yacht,0.1,19,2000,2.8669494148189156,-2.5936626623351757,0.967741935483871,13.391441588820532,7.091064459646546,4.731860014190301,2026-08-28T23:50:35.441217+00:00,1806733
yacht,0.2,0,2000,1.9983340096753537,-2.587301135713611,0.967741935483871,18.68680694425056,13.283672993402252,9.633770236523947,2026-08-28T23:50:44.272799+00:00,1806733
yacht,0.2,1,2000,2.2916116284431967,-2.6355451938663497,1.0,19.173309980197867,13.779384282655133,10.375344166633209,2026-08-28T23:50:46.295401+00:00,1806733
yacht,0.2,2,2000,1.7454851966210574,-2.5634576313951163,1.0,18.65170098608962,13.291008215886606,9.534534192142354,2026-08-28T23:50:55.013884+00:00,1806733
yacht,0.2,3,2000,3.1562570701066575,-2.7351192083174984,0.9354838709677419,18.538549354034675,14.599171018689349,7.996352236076575,2026-08-28T23:50:57.297144+00:00,1806733
yacht,0.2,4,2000,3.042261581815713,-2.752361104994451,0.9354838709677419,19.066328427542935,14.25843248173432,9.578827866408504,2026-08-28T23:51:05.663112+00:00,1806733
yacht,0.2,5,2000,1.269797379076402,-2.507915947940455,1.0,18.420048065405382,13.205142302541821,9.053322681626772,2026-08-28T23:51:08.030959+00:00,1806733
yacht,0.2,6,2000,1.283449441961179,-2.5364628317510767,1.0,18.950451013844553,14.322918299069686,9.214155674560145,2026-08-28T23:51:16.334516+00:00,1806733
yacht,0.2,7,2000,3.1351309661184916,-2.757900351989747,0.967741935483871,18.597438968162965,13.679094703133934,9.012887882532448,2026-08-28T23:51:18.824762+00:00,1806733
yacht,0.2,8,2000,2.083749936450109,-2.56978866856213,1.0,18.389621439496146,13.807320524150365,8.426994108273467,2026-08-28T23:51:27.140386+00:00,1806733
yacht,0.2,9,2000,1.2447555340429777,-2.522034765940834,1.0,18.680836846874627,13.643699751462854,9.276857827239082,2026-08-28T23:51:29.608123+00:00,1806733
yacht,0.2,10,2000,2.648315831268475,-2.6271397474404417,0.967741935483871,17.85328784643857,13.706306346365666,7.277040938455284,2026-08-28T23:51:37.888545+00:00,1806733
yacht,0.2,11,2000,1.9748009765013717,-2.600471776857675,0.967741935483871,18.839599524162395,13.87636189178621,9.439943927081245,2026-08-28T23:51:40.693181+00:00,1806733
yacht,0.2,12,2000,2.6425858624011216,-2.665749082037982,0.967741935483871,18.618592337004475,14.17151920691756,8.629381245563271,2026-08-28T23:51:48.670778+00:00,1806733
yacht,0.2,13,2000,1.7976743919527423,-2.567065673954766,1.0,18.80615735016565,13.9196710026882,9.364379386138353,2026-08-28T23:51:51.557068+00:00,1806733
yacht,0.2,14,2000,2.655763137390377,-2.645819361862619,0.967741935483871,18.23238623338346,13.855832169826941,8.021587296849972,2026-08-28T23:51:59.310934+00:00,1806733
yacht,0.2,15,2000,2.069370488011552,-2.6013197032044246,1.0,18.463056504414688,13.15551648257239,9.299231154372553,2026-08-28T23:52:02.348026+00:00,1806733
yacht,0.2,16,2000,1.8858969506884924,-2.5876822325561246,1.0,18.7056004408791,13.49300287514816,9.504667743987932,2026-08-28T23:52:10.309507+00:00,1806733
yacht,0.2,17,2000,2.2612776799594987,-2.6333341570924076,0.967741935483871,18.761671846691783,13.098027430497641,10.006115315595657,2026-08-28T23:52:13.112474+00:00,1806733
yacht,0.2,18,2000,2.3637747311185167,-2.6111686081440904,0.967741935483871,18.05356352613229,13.10382135994629,8.410922274617192,2026-08-28T23:52:20.878693+00:00,1806733
yacht,0.2,19,2000,3.6789465997255135,-2.8352036906498004,0.967741935483871,17.353871234770974,12.063745449128541,7.786549853232545,2026-08-28T23:52:23.497647+00:00,1806733
energy,0.005,0,1000,0.4979877599454078,-0.8859899865928658,0.987012987012987,3.034833916779444,0.4041876138738719,0.1995576600551805,2026-08-28T23:53:17.180000+00:00,1806733
