dataset,method,metric,split_index,own_value,published_value,difference
kin8nm,mcd,rmse,14,0.0894001859941574,0.08363874972064204,0.005761436273515358
kin8nm,mcd,rmse,15,0.0961148258418453,0.076419443888156,0.019695381953689306
kin8nm,mcd,rmse,16,0.0977558601482767,0.0760161137418483,0.021739746406428395
kin8nm,mcd,rmse,17,0.0938597371071531,0.08107094425536132,0.012788792851791783
kin8nm,mcd,rmse,18,0.0981668911152044,0.07848340505519377,0.01968348606001062
kin8nm,mcd,rmse,19,0.0910175683674301,0.07608605215701197,0.01493151621041812
power_plant,mcd,ll,0,-2.9058693263191056,-2.847144566338193,-0.058724759980912644
power_plant,mcd,ll,1,-2.821796404645774,-2.7531911229735297,-0.06860528167224444
power_plant,mcd,ll,2,-2.8851024983843745,-2.7792304111833137,-0.10587208720106078
power_plant,mcd,ll,3,-2.8959187215360243,-2.801045725393159,-0.09487299614286515
power_plant,mcd,ll,4,-2.900773953514157,-2.8970775213641597,-0.003696432149997264
power_plant,mcd,ll,5,-2.900376883241833,-2.8662151519119607,-0.034161731329872325
power_plant,mcd,ll,6,-2.85289999066162,-2.809856356052315,-0.04304363460930505
power_plant,mcd,ll,7,-2.8602815281830645,-2.7718511312017333,-0.08843039698133115
power_plant,mcd,ll,8,-2.9010740535156354,-2.803700328843657,-0.09737372467197858
power_plant,mcd,ll,9,-2.865907112951544,-2.8119260402944315,-0.053981072657112605
power_plant,mcd,ll,10,-2.882650718360634,-2.7722084576395885,-0.11044226072104557
power_plant,mcd,ll,11,-2.911249892334676,-2.8825961771830313,-0.028653715151644832
power_plant,mcd,ll,12,-2.826152088009339,-2.762906391867478,-0.06324569614186082
power_plant,mcd,ll,13,-2.8865512612641626,-2.823727130574104,-0.06282413069005877
power_plant,mcd,ll,14,-2.865584490708477,-2.780550513257583,-0.08503397745089414
power_plant,mcd,ll,15,-2.8640416059176013,-2.7773676628375568,-0.0866739430800445
power_plant,mcd,ll,16,-2.8448557737240168,-2.792948477138127,-0.05190729658588955
power_plant,mcd,ll,17,-2.8553751747519835,-2.7902070790529763,-0.06516809569900728
power_plant,mcd,ll,18,-2.894656965773009,-2.8061270372590124,-0.08852992851399666
power_plant,mcd,ll,19,-2.9299431174127566,-2.8258977133465315,-0.10404540406622509
power_plant,mcd,rmse,0,4.428112073811079,4.167950697376506,0.2601613764345725
power_plant,mcd,rmse,1,3.992996964850155,3.7592029148613175,0.23379404998883757
power_plant,mcd,rmse,2,4.336639833538136,3.9806232293533523,0.35601660418478387
power_plant,mcd,rmse,3,4.380595334907111,4.140899943263961,0.23969539164315012
power_plant,mcd,rmse,4,4.39810934155001,4.178672687884492,0.21943665366551812
power_plant,mcd,rmse,5,4.390839189239457,4.1522357578328455,0.23860343140661122
power_plant,mcd,rmse,6,4.180130294239903,3.9708189220150736,0.2093113722248292
power_plant,mcd,rmse,7,4.198932923115597,3.788790077222518,0.4101428458930796
power_plant,mcd,rmse,8,4.405706809453975,4.2010850208333155,0.20462178862065983
power_plant,mcd,rmse,9,4.212938324390819,3.951013338108511,0.2619249862823083
power_plant,mcd,rmse,10,4.316042325548771,3.8339647224045468,0.48207760314422465
power_plant,mcd,rmse,11,4.443061138971518,4.261982285880699,0.18107885309081873
power_plant,mcd,rmse,12,4.041578912625026,3.8471677320593805,0.19441118056564521
power_plant,mcd,rmse,13,4.326771843744536,4.066474742711922,0.2602971010326147
power_plant,mcd,rmse,14,4.23095374802121,3.9340560165516845,0.29689773146952536
power_plant,mcd,rmse,15,4.202082073965781,3.8162502607272693,0.3858318132385117
power_plant,mcd,rmse,16,4.1154181649179264,3.91875838999415,0.19665977492377662
