dataset,split_index,dropout_p,tau,n_train,n_validation,epochs,validation_rmse,validation_ll,timestamp,git_commit
energy,16,0.1,0.5,552,139,4000,1.7562897395153036,-2.003363138538349,2026-08-30T23:49:00.051625+00:00,1806733
energy,16,0.1,0.75,552,139,4000,1.728376211795269,-1.970712442918406,2026-08-30T23:49:00.074592+00:00,1806733
energy,17,0.005,0.25,552,139,4000,0.7190009116059416,-1.7021752336778646,2026-08-30T23:49:12.124058+00:00,1806733
energy,17,0.005,0.5,552,139,4000,0.7148165013644829,-1.423892921843627,2026-08-30T23:49:12.146424+00:00,1806733
energy,17,0.005,0.75,552,139,4000,0.728223802266204,-1.2906146326542713,2026-08-30T23:49:12.170516+00:00,1806733
energy,17,0.01,0.25,552,139,4000,0.8533035033060937,-1.7375842366220775,2026-08-30T23:49:12.196832+00:00,1806733
energy,17,0.01,0.5,552,139,4000,0.7463144957200766,-1.4525394297303615,2026-08-30T23:49:12.220748+00:00,1806733
energy,17,0.01,0.75,552,139,4000,0.8522949571167643,-1.3671624346726912,2026-08-30T23:49:12.245391+00:00,1806733
energy,17,0.05,0.25,552,139,4000,1.8360202588001202,-2.104914101718722,2026-08-30T23:49:12.271972+00:00,1806733
energy,17,0.05,0.5,552,139,4000,1.8006680118670244,-2.0698888809582363,2026-08-30T23:49:12.297030+00:00,1806733
energy,17,0.05,0.75,552,139,4000,1.362895614127485,-1.7827582216413425,2026-08-30T23:49:12.320233+00:00,1806733
energy,17,0.1,0.25,552,139,4000,2.0397419730548196,-2.2024533523335554,2026-08-30T23:49:12.344520+00:00,1806733
energy,17,0.1,0.5,552,139,4000,2.049563347876765,-2.1799439178757294,2026-08-30T23:49:12.369140+00:00,1806733
energy,17,0.1,0.75,552,139,4000,2.0466766806743006,-2.1952238553646684,2026-08-30T23:49:12.392759+00:00,1806733
energy,18,0.005,0.25,552,139,4000,0.44069141908828746,-1.6618850617712573,2026-08-30T23:49:12.440007+00:00,1806733
energy,18,0.005,0.5,552,139,4000,0.4623913628793363,-1.3546051559624306,2026-08-30T23:49:12.462234+00:00,1806733
energy,18,0.005,0.75,552,139,4000,0.4514683083775325,-1.1810069219779458,2026-08-30T23:49:12.486106+00:00,1806733
energy,18,0.01,0.25,552,139,4000,0.49725025274096957,-1.6863480239301418,2026-08-30T23:49:12.510374+00:00,1806733
energy,18,0.01,0.5,552,139,4000,0.501723026569082,-1.3905146749467614,2026-08-30T23:49:12.534423+00:00,1806733
energy,18,0.01,0.75,552,139,4000,0.4964966461390853,-1.2305611595428976,2026-08-30T23:49:12.559588+00:00,1806733
energy,18,0.05,0.25,552,139,4000,0.8979719341884921,-1.837144927236833,2026-08-30T23:49:12.584207+00:00,1806733
energy,18,0.05,0.5,552,139,4000,0.8930781698882695,-1.636159794375703,2026-08-30T23:49:12.606604+00:00,1806733
energy,18,0.05,0.75,552,139,4000,0.9007191432685178,-1.547425584953316,2026-08-30T23:49:12.629721+00:00,1806733
energy,18,0.1,0.25,552,139,4000,1.4693799592493655,-2.0575382050543833,2026-08-30T23:49:12.653388+00:00,1806733
energy,18,0.1,0.5,552,139,4000,1.471252966786076,-1.9785558419956744,2026-08-30T23:49:12.678104+00:00,1806733
energy,18,0.1,0.75,552,139,4000,1.3808806073480435,-1.8751345313062366,2026-08-30T23:49:12.702080+00:00,1806733
energy,19,0.005,0.25,552,139,4000,0.6673490465432681,-1.69485490729702,2026-08-30T23:49:21.043246+00:00,1806733
energy,19,0.005,0.5,552,139,4000,0.6581097130831794,-1.408851467676435,2026-08-30T23:49:21.073137+00:00,1806733
energy,19,0.005,0.75,552,139,4000,0.695196829280731,-1.281798325909139,2026-08-30T23:49:21.098547+00:00,1806733
energy,19,0.01,0.25,552,139,4000,0.7468545246420889,-1.7269895057683546,2026-08-30T23:49:21.123513+00:00,1806733
energy,19,0.01,0.5,552,139,4000,0.7316858887756272,-1.4568820037837837,2026-08-30T23:49:21.147941+00:00,1806733
energy,19,0.01,0.75,552,139,4000,0.7544081361322291,-1.3359319325514585,2026-08-30T23:49:21.171800+00:00,1806733
energy,19,0.05,0.25,552,139,4000,1.3713613358401862,-1.940155875948025,2026-08-30T23:49:21.195685+00:00,1806733
energy,19,0.05,0.5,552,139,4000,1.4035452451395616,-1.8133918019629787,2026-08-30T23:49:21.218405+00:00,1806733
energy,19,0.05,0.75,552,139,4000,1.2792090694520526,-1.7105629887964118,2026-08-30T23:49:21.240626+00:00,1806733
energy,19,0.1,0.25,552,139,4000,1.6535763936306513,-2.0572980327104884,2026-08-30T23:49:21.264290+00:00,1806733
energy,19,0.1,0.5,552,139,4000,1.6667513228044155,-1.9558518635123345,2026-08-30T23:49:21.288952+00:00,1806733
energy,19,0.1,0.75,552,139,4000,1.6460577127749336,-1.9125698399676194,2026-08-30T23:49:21.313191+00:00,1806733
concrete,0,0.005,0.025,741,186,4000,4.797602674304171,-3.061157558325355,2026-08-30T23:55:09.708249+00:00,1806733
concrete,0,0.005,0.05,741,186,4000,4.736109720298572,-2.9303363982730795,2026-08-30T23:55:09.730581+00:00,1806733
concrete,0,0.005,0.075,741,186,4000,4.707443510854141,-2.901742934721356,2026-08-30T23:55:09.753907+00:00,1806733
concrete,0,0.01,0.025,741,186,4000,4.755655227961037,-3.064112888303812,2026-08-30T23:55:09.778819+00:00,1806733
concrete,0,0.01,0.05,741,186,4000,4.70018261105482,-2.9247478443612573,2026-08-30T23:55:09.801435+00:00,1806733
concrete,0,0.01,0.075,741,186,4000,4.813926806940833,-2.8969979466343965,2026-08-30T23:55:09.823957+00:00,1806733
concrete,0,0.05,0.025,741,186,4000,5.1085956739549685,-3.1327165012271263,2026-08-30T23:55:09.847680+00:00,1806733
concrete,0,0.05,0.05,741,186,4000,5.0695583366087416,-3.019221538825101,2026-08-30T23:55:09.873040+00:00,1806733
concrete,0,0.05,0.075,741,186,4000,4.996768576689241,-2.9903649293782464,2026-08-30T23:55:09.896715+00:00,1806733
concrete,0,0.1,0.025,741,186,4000,5.663940661904714,-3.213895784000606,2026-08-30T23:55:09.919307+00:00,1806733
concrete,0,0.1,0.05,741,186,4000,5.622081604501866,-3.1275431746504294,2026-08-30T23:55:09.944049+00:00,1806733
