experiment_id,dataset,method,T,repeat,init_seed,predict_seed,mpiw95,picp95,ll,rmse,mean_std_epistemic,mean_var_epistemic,timestamp,git_commit
e6a,sin_homo,bbb,2,6,0,6000,0.7684473450529633,0.693,-1.6533286575749906,0.4296981942347719,0.10161542912094113,0.013037464841003299,2026-08-31T19:39:03.878997+00:00,1806733
e6a,sin_homo,bbb,2,7,0,7000,0.9261335615610546,0.682,-2.7363200575844866,0.5109751098552895,0.15704634532890774,0.03286146587069175,2026-08-31T19:39:03.907026+00:00,1806733
e6a,sin_homo,bbb,2,8,0,8000,0.7072137595776146,0.609,-4.749799512450125,0.5593517340962685,0.06590159502418777,0.006802332645905626,2026-08-31T19:39:03.938399+00:00,1806733
e6a,sin_homo,bbb,2,9,0,9000,0.7849530611642938,0.69,-2.6654673369189092,0.46780516943169237,0.09952088108772811,0.015191051279002126,2026-08-31T19:39:03.968396+00:00,1806733
e6a,sin_homo,bbb,5,0,0,0,0.8354106335831184,0.662,-2.6004018268198976,0.5498819092662312,0.13716303699741803,0.01962841592311078,2026-08-31T19:39:04.000284+00:00,1806733
e6a,sin_homo,bbb,5,1,0,1000,0.778588454412801,0.662,-2.127794170321894,0.5113202260838857,0.11397342754129348,0.013493967288196589,2026-08-31T19:39:04.030816+00:00,1806733
e6a,sin_homo,bbb,5,2,0,2000,0.7620045487774012,0.665,-2.8678312283413265,0.5173114547918716,0.10340398018764768,0.012061726382388506,2026-08-31T19:39:04.057461+00:00,1806733
e6a,sin_homo,bbb,5,3,0,3000,0.7328552953173951,0.658,-2.675539581548911,0.5105367593745146,0.09135703263526747,0.008956912182735787,2026-08-31T19:39:04.084803+00:00,1806733
e6a,sin_homo,bbb,5,4,0,4000,0.8561993368107009,0.681,-2.287995133376724,0.5209181595873026,0.14541420728634707,0.02188058954221364,2026-08-31T19:39:04.112417+00:00,1806733
e6a,sin_homo,bbb,5,5,0,5000,0.8574318891846101,0.665,-2.6058895178103425,0.5338978886023927,0.144548285827103,0.02226965033619669,2026-08-31T19:39:04.140384+00:00,1806733
e6a,sin_homo,bbb,5,6,0,6000,0.8029328712173043,0.675,-1.9132054179221707,0.4907051451005031,0.12089688777061133,0.016375912018133543,2026-08-31T19:39:04.169538+00:00,1806733
e6a,sin_homo,bbb,5,7,0,7000,0.8344662319174075,0.673,-2.397076772199979,0.5112925890330471,0.1371140069022928,0.01944914359571035,2026-08-31T19:39:04.196458+00:00,1806733
e6a,sin_homo,bbb,5,8,0,8000,0.7395749010823128,0.65,-2.75669154026256,0.5201814572891822,0.09548272389333402,0.009599731430648201,2026-08-31T19:39:04.223819+00:00,1806733
e6a,sin_homo,bbb,5,9,0,9000,0.9716957927981799,0.697,-2.1537387300235866,0.5163700480274763,0.17802085165359996,0.03903222638186397,2026-08-31T19:39:04.252872+00:00,1806733
e6a,sin_homo,bbb,10,0,0,0,0.788261296824503,0.668,-2.5616052709616164,0.5198998791482863,0.11834170272270104,0.014470961215546365,2026-08-31T19:39:04.288041+00:00,1806733
e6a,sin_homo,bbb,10,1,0,1000,0.7785342850883324,0.663,-2.416990660997124,0.5097463217305962,0.11489717542020812,0.0133625802120109,2026-08-31T19:39:04.328582+00:00,1806733
e6a,sin_homo,bbb,10,2,0,2000,0.8949622766037741,0.688,-2.0416975572692118,0.5077537927893762,0.15188491466381673,0.028542159434290008,2026-08-31T19:39:04.369988+00:00,1806733
