dataset,method,epochs,seed,n_fit,n_val,n_train_full,batch_size,steps_per_epoch,total_steps,val_nll,val_ll,val_rmse,mean_var_aleatoric,mean_var_epistemic,train_time_s,timestamp,git_commit
concrete,map,500,2,742,185,927,128,6,3000,0.7078707445370964,-0.7078707445370964,0.3142767253143185,0.03306496534343623,0.0,4.9511641000863165,2026-08-26T23:25:08.167187+00:00,1806733
concrete,map,1000,0,742,185,927,128,6,6000,0.8644251734441221,-0.8644251734441221,0.2898749605357454,0.02291486314750429,0.0,9.746561000007205,2026-08-26T23:25:17.937295+00:00,1806733
concrete,map,1000,1,742,185,927,128,6,6000,1.1676471743980117,-1.1676471743980117,0.33948300140102794,0.028393219536143415,0.0,9.738001500023529,2026-08-26T23:25:27.698790+00:00,1806733
concrete,map,1000,2,742,185,927,128,6,6000,0.8029766642963999,-0.8029766642963999,0.29975875302929855,0.026412557999170062,0.0,9.881554399966262,2026-08-26T23:25:37.604094+00:00,1806733
concrete,map,2000,0,742,185,927,128,6,12000,1.2293603634538088,-1.2293603634538088,0.29997626470896765,0.019810162631835795,0.0,19.541514900047332,2026-08-26T23:25:57.168107+00:00,1806733
concrete,map,2000,1,742,185,927,128,6,12000,1.6055933389321113,-1.6055933389321113,0.3463569130672551,0.023390363582883555,0.0,19.604759700014256,2026-08-26T23:26:16.795753+00:00,1806733
concrete,map,2000,2,742,185,927,128,6,12000,1.1121334095217923,-1.1121334095217923,0.3076833262666476,0.022690422681385516,0.0,19.625181000097655,2026-08-26T23:26:36.442378+00:00,1806733
wine_quality_red,map,50,0,1151,288,1439,128,9,450,1.281136544714906,-1.281136544714906,0.8423310048794477,0.5018038129225865,0.0,0.7520200000144541,2026-08-26T23:26:37.228074+00:00,1806733
wine_quality_red,map,50,1,1151,288,1439,128,9,450,1.2217070190220265,-1.2217070190220265,0.8018778630914156,0.4801330619042709,0.0,0.7204994999337941,2026-08-26T23:26:37.973055+00:00,1806733
wine_quality_red,map,50,2,1151,288,1439,128,9,450,1.259138412077136,-1.259138412077136,0.8237988215577046,0.4793913556501485,0.0,0.7371926000341773,2026-08-26T23:26:38.731929+00:00,1806733
wine_quality_red,map,100,0,1151,288,1439,128,9,900,1.3500784711689484,-1.3500784711689484,0.8549457601890923,0.4261236121222654,0.0,1.4669606999959797,2026-08-26T23:26:40.220894+00:00,1806733
wine_quality_red,map,100,1,1151,288,1439,128,9,900,1.3968606506075392,-1.3968606506075392,0.870193656411821,0.4097471361627115,0.0,1.470303799957037,2026-08-26T23:26:41.711978+00:00,1806733
wine_quality_red,map,100,2,1151,288,1439,128,9,900,1.3468590940259841,-1.3468590940259841,0.8461195856781505,0.4092894146355471,0.0,1.4772355000022799,2026-08-26T23:26:43.212452+00:00,1806733
wine_quality_red,map,200,0,1151,288,1439,128,9,1800,1.4984376175884817,-1.4984376175884817,0.8822351033329942,0.354366906323662,0.0,2.9906311000231653,2026-08-26T23:26:46.225943+00:00,1806733
wine_quality_red,map,200,1,1151,288,1439,128,9,1800,1.5906518761067114,-1.5906518761067114,0.8975260755534431,0.32750226134796323,0.0,2.970594699960202,2026-08-26T23:26:49.219340+00:00,1806733
wine_quality_red,map,200,2,1151,288,1439,128,9,1800,1.4615075047005734,-1.4615075047005734,0.8660841923909912,0.3525330839251811,0.0,2.9299903999781236,2026-08-26T23:26:52.172508+00:00,1806733
wine_quality_red,map,500,0,1151,288,1439,128,9,4500,1.5951739416913442,-1.5951739416913442,0.9076803218925478,0.3380811789217489,0.0,7.403467299998738,2026-08-26T23:26:59.597575+00:00,1806733
wine_quality_red,map,500,1,1151,288,1439,128,9,4500,2.0290364477369702,-2.0290364477369702,0.9832451148823718,0.2754766149234953,0.0,7.364911300013773,2026-08-26T23:27:06.985169+00:00,1806733
wine_quality_red,map,500,2,1151,288,1439,128,9,4500,1.766137438958185,-1.766137438958185,0.9303525904750303,0.2979203128721714,0.0,7.3311108000343665,2026-08-26T23:27:14.339419+00:00,1806733
wine_quality_red,map,1000,0,1151,288,1439,128,9,9000,1.8155808194176788,-1.8155808194176788,0.9455105969584278,0.29740859667185354,0.0,14.72865229996387,2026-08-26T23:27:29.091092+00:00,1806733
wine_quality_red,map,1000,1,1151,288,1439,128,9,9000,2.556026368269879,-2.556026368269879,1.0759144311743147,0.24794638756756734,0.0,14.828443999984302,2026-08-26T23:27:43.942083+00:00,1806733
