dataset,method,variant,dimension,split_index,n_train_full,n_train,n_removed,feature_n_distinct,gap_leak_fraction,n_gap_in,n_gap_out,mean_std_epi_gap_in,mean_std_epi_gap_out,epi_gap_ratio,rmse_gap_in,rmse_gap_out,ll_gap_in,ll_gap_out,picp95_gap_in,picp95_gap_out,timestamp,git_commit
concrete,gp,control,2,3,927,621,306,156,0.5112179487179487,40,63,2.4739700960647943,2.97360971509898,0.8319753878603552,7.084597306420507,5.119405783114887,-3.406742790412366,-3.093451998727116,0.825,0.9365079365079364,2026-08-31T17:19:17.476763+00:00,1806733
concrete,gp,control,3,3,927,621,306,195,0.1302250803858521,38,65,2.525174423717934,2.928301350654555,0.8623342072199942,4.63362246978652,6.613398134437984,-2.9733154102111627,-3.3564800299735205,0.9473684210526316,0.8615384615384616,2026-08-31T17:19:17.550969+00:00,1806733
concrete,gp,control,4,3,927,621,306,111,0.5192307692307693,40,63,2.4709905612047978,2.9755014832640567,0.8304450779483995,5.897088334973168,5.999680689379774,-3.244499165934151,-3.1964638237926506,0.875,0.9047619047619048,2026-08-31T17:19:17.630446+00:00,1806733
concrete,gp,control,5,3,927,621,306,284,0.0112903225806451,36,67,2.112065451489405,3.1382367110478957,0.6730102429985788,4.890739370699702,6.461930656808118,-3.000689471431429,-3.3303338293249487,0.9166666666666666,0.8805970149253731,2026-08-31T17:19:17.709904+00:00,1806733
concrete,gp,control,6,3,927,621,306,302,0.0,33,70,2.3543328876003686,2.9800461514716483,0.7900323578672495,5.67296093174598,6.090698542650063,-3.1209021285261054,-3.25953453278488,0.8787878787878788,0.9,2026-08-31T17:19:17.781633+00:00,1806733
concrete,gp,control,7,3,927,621,306,14,0.1193548387096774,36,67,2.7294863250938586,2.8064881819469942,0.9725629142682812,6.875142719770958,5.404740171856473,-3.442155723810678,-3.093128081777889,0.8611111111111112,0.9104477611940298,2026-08-31T17:19:17.855783+00:00,1806733
concrete,mcd,gap,0,4,927,616,311,278,0.0032467532467532,32,71,2.9515445851179445,2.8879366414712586,1.0220253944401914,5.413033663788212,6.583030614355347,-3.132472012539104,-3.3074094462393213,0.96875,0.9154929577464788,2026-08-31T17:19:24.876567+00:00,1806733
concrete,mcd,gap,1,4,927,621,306,185,0.5040257648953301,37,66,2.79492169582315,2.796380211056141,0.9994784274229862,7.293246891389924,5.825335363918078,-3.4348022451910865,-3.1833554123252985,0.8918918918918919,0.9545454545454546,2026-08-31T17:19:27.215771+00:00,1806733
concrete,mcd,gap,2,4,927,617,310,156,0.5105348460291734,33,70,2.82723087186266,2.6977121846306087,1.0480105653857164,6.578155103313292,5.910267594075344,-3.3292023286294925,-3.1943235090358826,0.9090909090909092,0.9142857142857144,2026-08-31T17:19:27.270500+00:00,1806733
concrete,mcd,gap,3,4,927,612,315,195,0.1339869281045751,28,75,2.9515539057601807,3.220687972418649,0.9164358457064824,5.563634112152093,5.459151649920345,-3.1584834328589886,-3.1547515652304776,0.9642857142857144,0.9733333333333334,2026-08-31T17:19:29.288086+00:00,1806733
