method,depth,dataset,seed,n_parameters,train_time_s,rmse_in_range,ll_in_range,picp95_in_range,mpiw95_in_range,median_std_epi_in_range,rmse_extrapolation,ll_extrapolation,picp95_extrapolation,mpiw95_extrapolation,median_std_epi_extrapolation,std_epi_at_m2,ratio_at_m2,std_epi_at_8,ratio_at_8,max_abs_delta_var_epi,max_abs_delta_var_epi_at_x,timestamp,git_commit,posterior_precision_lambda_min,posterior_precision_lambda_max,posterior_precision_cond,rmse_in_gap,ll_in_gap,picp95_in_gap,mpiw95_in_gap,median_std_epi_in_gap,gap_ratio
laplace,1,sin_homo,2,151,5.72394080000231,0.10225355321072775,0.8620644894641553,0.9433333333333334,0.39846461499148544,0.016891725465719543,0.2847953473404376,-0.18962515890190487,0.9825,1.7703588609365182,0.38616509709537256,1.013105914382162,59.97646104527228,0.9732536903781706,57.61718613964654,0.012769973683969482,7.98998998998999,2026-08-31T20:50:42.661783+00:00,1806733,0.9872747142978778,1572720.6378339948,1592991.9150744884,,,,,,
laplace,2,sin_homo,2,2701,13.460504599992419,0.1005904977873021,0.8782253258090951,0.9483333333333334,0.40060765024478634,0.02007669872413629,0.5157242804812306,-0.6487166251060725,0.9375,1.702530422998214,0.40827749406719105,0.9412662762166716,46.883518508203615,0.5418414739908706,26.988574239023993,0.006679900536770145,-1.6696696696696698,2026-08-31T20:50:59.832011+00:00,1806733,0.998133391846912,225045.84501223586,225466.70299830238,,,,,,
ensemble,1,sin_homo,2,755,27.459114600002067,0.10033493130506325,0.8787359390538412,0.9466666666666667,0.40582044466646094,0.02945667646917614,0.2842398429037304,-1.4102136418891202,0.5525,0.432609601347425,0.0333912659644119,0.10967248394562572,3.723179159753086,0.04703346370318868,1.5966996056871903,0.00013350989234703348,-2.0,2026-08-31T20:51:28.356599+00:00,1806733,,,,,,,,,
ensemble,2,sin_homo,2,13505,38.962191200000234,0.09961771720534406,0.8830348291005127,0.9583333333333334,0.4117899832285941,0.0255715399526247,0.4519813759575169,-4.5608270571920535,0.29,0.47668550252172565,0.056294490578822014,0.08498727806237959,3.3235103642499393,0.15107615638171235,5.907980382159412,0.00019705027096882793,7.50950950950951,2026-08-31T20:52:07.374326+00:00,1806733,,,,,,,,,
map,1,sin_gap,0,151,5.615706999989925,0.10304625284068719,0.8527200485640313,0.9475,0.3919927969080109,0.0,0.22543193313937318,-1.1573312641583673,0.5525,0.3919927969080109,0.0,0.0,,0.0,,0.0,-2.0,2026-08-31T20:52:13.044582+00:00,1806733,,,,0.12665367174410544,0.5815889314761925,0.87,0.3919927969080109,0.0,
map,2,sin_gap,0,2701,7.883988799992949,0.1061296553581959,0.8204713724669009,0.935,0.3919927969080109,0.0,0.7371511256311094,-25.785942541171202,0.1075,0.3919927969080109,0.0,0.0,,0.0,,0.0,-2.0,2026-08-31T20:52:20.988740+00:00,1806733,,,,0.10100241362098973,0.8735721819260983,0.94,0.3919927969080109,0.0,
gp,0,sin_gap,0,3,0.8503407000098377,0.10373037458753054,0.8442247414006567,0.9375,0.38382001518052605,0.013604046243867525,0.4660760948342849,-0.8801430588179824,0.765,1.0724822596559398,0.2260233927003344,0.5383693881712954,39.574210387147374,0.5383693881712954,39.574210387147374,0.0031315064569406026,7.98998998998999,2026-08-31T20:52:21.896721+00:00,1806733,,,,0.1281387227074444,0.5980437033811764,0.895,0.4156233955815404,0.044433936818223815,3.2662294747971683
bbb,1,sin_gap,0,302,145.3831804000074,0.10984629230521716,0.7518239276410977,0.975,0.5100283860108527,0.08085325187708312,0.6786068763752455,-12.54507403791024,0.125,0.5279219603090213,0.08866806550258349,0.06561152714935294,0.8114890326130437,0.12221569136106956,1.511574222727214,7.804973173421506e-05,3.255255255255255,2026-08-31T20:54:47.426078+00:00,1806733,,,,0.2328446913700339,-0.3954112464596815,0.705,0.5465819215978752,0.09883387680631026,1.2223859215528168
bbb,2,sin_gap,0,5402,232.37001990000135,0.10604776906363401,0.7851302177262786,0.9875,0.5127862246955859,0.08164657707443301,0.8939547808797336,-20.233918046291098,0.095,0.532808144509255,0.09273803402832173,0.08796556855705123,1.0773944445565369,0.10571270881922343,1.294759836935363,0.0016356603131482614,2.5145145145145147,2026-08-31T20:58:40.018001+00:00,1806733,,,,0.14295531624938446,0.46962122655644073,0.985,0.7478212341353645,0.13732805432972833,1.681981771318268
mcd,1,sin_gap,0,151,6.353768600005424,0.13696291413318631,0.5486125020509922,0.97,0.6309379243254174,0.12627820382963265,0.8832310249627371,-12.571116774427132,0.1075,0.6710409405002742,0.13774589502075169,0.15111956863472262,1.1967193391395123,0.13378722640719728,1.0594641224680024,0.01260717316218867,-1.3293293293293293,2026-08-31T20:58:46.555329+00:00,1806733,,,,0.22338985594686,-0.3954205753493289,0.67,0.5195411473010477,0.08507929025754818,0.673744856019114
mcd,2,sin_gap,0,2701,9.036190400016494,0.12258911646202826,0.6673345885088554,0.945,0.5208054734908419,0.08700481777699454,0.9956728150531629,-24.148472649108836,0.0425,0.5467707497758082,0.09726149883659407,0.09341824723776007,1.0737134979950655,0.09806826676947877,1.127159038719458,0.00757946051583428,0.07207207207207222,2026-08-31T20:58:55.921733+00:00,1806733,,,,0.18622845461370788,0.1872151228095144,0.855,0.5567854126779086,0.09915530307205452,1.1396530169881323
