dataset,method,seed,epoch,val_nll,val_ll,val_rmse,mean_var_aleatoric,mean_var_epistemic,n_fit,n_val,n_train_full,batch_size,steps_per_epoch,total_steps,elbo_samples,run_aborted,max_epoch_measured,run_train_time_s,timestamp,git_commit,on_grid
concrete,map,1,2000,1.605593338932111,-1.605593338932111,0.3463569130672551,0.0233903635828835,0.0,742,185,927,128,6,12000,,False,2000,11.736861600074915,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,map,2,5,1.0088840448777765,-1.0088840448777765,0.5672805332150174,0.8010382225456822,0.0,742,185,927,128,6,30,,False,2000,11.78792449994944,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,map,2,10,0.8272267739605643,-0.8272267739605643,0.4550277852672565,0.5839028465300087,0.0,742,185,927,128,6,60,,False,2000,11.78792449994944,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,map,2,20,0.5806423127934636,-0.5806423127934636,0.3811115931279624,0.3252507769926547,0.0,742,185,927,128,6,120,,False,2000,11.78792449994944,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,map,2,50,0.391988853654895,-0.391988853654895,0.3571882196385254,0.1155365010805777,0.0,742,185,927,128,6,300,,False,2000,11.78792449994944,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,map,2,100,0.3979338952488839,-0.3979338952488839,0.3363481558867773,0.0698746716138746,0.0,742,185,927,128,6,600,,False,2000,11.78792449994944,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,map,2,200,0.5142776698032823,-0.5142776698032823,0.3286506370926029,0.0489065822613537,0.0,742,185,927,128,6,1200,,False,2000,11.78792449994944,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,map,2,500,0.7078707445370964,-0.7078707445370964,0.3142767253143185,0.0330649653434362,0.0,742,185,927,128,6,3000,,False,2000,11.78792449994944,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,map,2,1000,0.8029766642963999,-0.8029766642963999,0.2997587530292985,0.02641255799917,0.0,742,185,927,128,6,6000,,False,2000,11.78792449994944,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,map,2,2000,1.1121334095217923,-1.1121334095217923,0.3076833262666476,0.0226904226813855,0.0,742,185,927,128,6,12000,,False,2000,11.78792449994944,2026-08-27T09:49:57.132935+00:00,1806733,True
